x,y
0,505
37.29961225,502
74.59922446,501
111.8988368,503
149.198449,503
186.4980613,503
223.7976735,502
261.0972857,500
298.396898,500
335.6965102,501
372.9961225,501
410.2957347,501
447.595347,500
484.8949592,499
522.1945715,500
559.4941837,502
596.7937959,500
634.0934082,499
671.3930204,497
708.6926327,497
745.9922449,496
783.2918572,496
820.5914694,496
857.8910816,495
895.1906939,498
932.4903061,501
969.7899188,499
1007.089531,499
1044.389143,499
1081.688755,495
1118.988368,493
1156.28798,491
1193.587592,490
1230.887204,489
1268.186817,488
1305.486429,489
1342.786041,490
1380.085653,489
1417.385265,492
1454.684878,494
1491.98449,492
1529.284102,489
1566.583714,486
1603.883327,485
1635.782163,482.93911
1656.658993,481.76815
1677.535823,481.76815
1703.762303,480.91637
1733.903273,480.31616
1771.481543,479.94145
1798.621403,478.5363
1823.673613,478.5363
1859.164233,478.16159
1894.306843,478.61228
1928.057753,478.67682
1955.197613,477.45902
1978.162093,476.61592
2028.266513,476.52225
2065.844783,476.14754
2136.826033,475.96019
2214.070223,476.28806
2300.709093,476.81587
2418.663203,477.45902
2546.011823,478.06791
2575.239413,477.59953
2627.431483,477.55269
2690.061963,478.5363
2798.621403,479.23887
2928.057833,479.51991
2951.022313,478.91101
2963.548373,477.46023
2986.512853,473.33724
3057.494103,473.33724
3092.984803,473.75878
3107.598513,473.2904
3132.650643,473.47775
3149.352173,473.00937
3180.435413,473.01477
3243.297893,472.49415
3299.665273,472.0726
3339.331273,471.78983
3397.786453,472.0726
3401.309353,472.8911
3431.189343,480.26932
3454.153823,479.10043
3476.454073,478.30696
3566.888883,477.83372
3625.343753,478.72365
3679.623633,478.25527
3735.991003,477.9274
3758.955633,479.70726
3767.306243,481.72131
3804.560449,485
3841.860061,490
3879.159674,491
3916.459286,491
3953.758898,490
3991.05851,488
4028.358123,485
4065.657735,485
4102.957347,486
4140.256959,487
4177.556572,488
4214.856184,487
4252.155796,488
4289.455408,488
4326.75502,487
4364.054633,487
4401.354245,489
4438.653857,490
4475.953469,492
4513.253082,493
4550.552694,490
4587.852306,489
4625.151918,492
4662.451531,494
4699.751143,495
4737.050755,494
4774.350367,494
4811.64998,495
4848.949592,496
4886.249204,495
4923.548816,494
4960.848429,494
4998.148041,493
5035.447653,494
5072.747265,495
5110.046878,495
5147.34649,494
5184.646102,494
5221.945714,494
5259.245327,496
5296.544939,495
5333.844551,494
5371.144163,494
5408.443776,494
5445.743388,494
5483.043,494
5520.342612,494
5557.642225,494
5594.941837,490
5632.241449,490
5669.541061,490
5706.840674,491
5744.140286,491
5781.439898,491
5818.73951,490
5856.039122,492
5893.338735,493
5930.638347,492
5967.937959,492
6005.237571,492
6042.537184,492
6079.836796,493
6117.136408,494
6154.43602,496
6191.735633,497
6229.035245,496
6266.334857,496
6303.634469,497
6340.934082,499
6378.233694,499
6415.533306,498
6452.832918,499
6490.132531,502
6527.432143,501
6564.731755,501
6602.031367,503
6639.33098,505
6676.630592,504
6713.930204,504
6751.229816,507
6788.529429,509
6825.829041,507
6863.128653,508
6900.428265,508
6937.727878,509
6975.02749,511
