Y,Q
480,1816.347095
481,1856.40358
482,1896.146384
483,1935.575507
484,1974.690948
485,2013.492708
486,2051.980787
487,2090.155184
488,2128.0159
489,2165.562935
490,2202.796288
491,2239.71596
492,2276.321951
