stage,surface_area
m,10^6 m^2
482,194.9985068
483,202.1268842
484,221.7671213
485,255.1678163
486,285.6591204
487,312.2613784
488,338.7092945
489,365.9298443
490,393.9858735
491,422.4670362
492,450.9158517
493,479.2389756
494,507.9271597
