chainage,x,y
0,651282,1304514
100,651349,1304439
200,651415,1304365
300,651477,1304286
400,651534,1304204
500,651591,1304122
600,651643,1304036
700,651694,1303951
800,651742,1303863
900,651786,1303773
1000,651830,1303683
1100,651874,1303594
1200,651918,1303504
1300,651955,1303411
1400,651990,1303317
1500,652025,1303224
1600,652060,1303130
1700,652108,1303043
1800,652168,1302963
1900,652228,1302883
2000,652288,1302803
2100,652348,1302723
2200,652408,1302643
2300,652467,1302563
2400,652527,1302483
2500,652586,1302402
2600,652644,1302320
2700,652702,1302239
2800,652760,1302157
2900,652818,1302076
3000,652875,1301994
3100,652933,1301913
3200,652969,1301823
3300,652974,1301723
3400,652979,1301624
3500,652984,1301524
3600,652988,1301424
3700,652993,1301324
3800,652998,1301224
3900,653003,1301124
4000,653008,1301024
4100,653013,1300924
4200,653018,1300824
4300,653022,1300725
4400,653030,1300625
4500,653054,1300528
4600,653078,1300431
4700,653102,1300334
4800,653126,1300237
4900,653149,1300140
5000,653173,1300042
5100,653197,1299945
5200,653221,1299848
5300,653245,1299751
5400,653269,1299654
5500,653293,1299557
5600,653317,1299460
5700,653312,1299361
5800,653303,1299261
5900,653294,1299161
6000,653285,1299062
6100,653276,1298962
6200,653267,1298863
6300,653258,1298763
6400,653249,1298663
6500,653240,1298564
6600,653231,1298464
6700,653164,1298394
6800,653089,1298328
6900,653014,1298263
7000,652938,1298197
7100,652863,1298131
7200,652787,1298066
7300,652712,1298000
7400,652637,1297934
7500,652561,1297869
7600,652486,1297803
7700,652410,1297737
7800,652335,1297672
7900,652260,1297606
8000,652184,1297540
8100,652109,1297475
8200,652033,1297409
8300,651961,1297341
8400,651912,1297254
8500,651863,1297167
8600,651813,1297080
8700,651764,1296993
8800,651715,1296906
8900,651666,1296819
9000,651616,1296732
9100,651567,1296644
9200,651518,1296557
9300,651469,1296470
9400,651419,1296383
9500,651370,1296296
9600,651313,1296214
9700,651255,1296133
9800,651196,1296052
9900,651137,1295971
10000,651078,1295891
10100,651019,1295810
10200,650961,1295729
10300,650902,1295648
10400,650843,1295567
10500,650791,1295482
10600,650750,1295391
10700,650709,1295300
10800,650668,1295208
10900,650627,1295117
11000,650586,1295026
11100,650546,1294935
11200,650505,1294843
11300,650464,1294752
11400,650422,1294662
11500,650347,1294595
11600,650273,1294528
11700,650198,1294461
11800,650124,1294395
11900,650050,1294328
12000,649975,1294261
12100,649901,1294194
12200,649827,1294127
12300,649752,1294060
12400,649678,1293993
12500,649603,1293927
12600,649529,1293860
12700,649455,1293793
12800,649380,1293726
12900,649306,1293659
13000,649232,1293592
13100,649157,1293526
13200,649083,1293459
13300,649008,1293392
13400,648985,1293301
13500,648981,1293201
13600,648977,1293101
13700,648973,1293001
13800,648969,1292901
13900,648965,1292801
14000,648961,1292702
14100,648957,1292602
14200,648953,1292502
14300,648949,1292402
14400,648945,1292302
14500,648941,1292202
14600,648937,1292102
14700,648933,1292002
14800,648929,1291902
14900,648909,1291805
15000,648877,1291710
15100,648845,1291616
15200,648813,1291521
15300,648780,1291427
15400,648748,1291332
15500,648716,1291237
15600,648684,1291143
15700,648652,1291048
15800,648619,1290953
15900,648587,1290859
16000,648555,1290764
16100,648523,1290669
16200,648490,1290575
16300,648458,1290480
16400,648426,1290385
16500,648394,1290291
16600,648371,1290197
16700,648417,1290108
16800,648463,1290019
16900,648509,1289930
17000,648555,1289842
17100,648601,1289753
17200,648647,1289664
17300,648694,1289576
17400,648740,1289487
17500,648786,1289398
17600,648832,1289309
17700,648878,1289221
17800,648924,1289132
17900,648970,1289043
18000,649016,1288954
18100,649063,1288866
18200,649109,1288777
18300,649155,1288688
18400,649201,1288600
18500,649247,1288511
18600,649293,1288422
18700,649339,1288333
18800,649385,1288245
18900,649432,1288156
19000,649478,1288067
19100,649524,1287978
19200,649570,1287890
19300,649616,1287801
19400,649662,1287712
19500,649708,1287624
19600,649755,1287535
19700,649794,1287446
19800,649761,1287351
19900,649729,1287256
20000,649696,1287162
20100,649664,1287067
20200,649631,1286973
20300,649599,1286878
20400,649566,1286784
20500,649534,1286689
20600,649501,1286594
20700,649469,1286500
20800,649436,1286405
20900,649404,1286311
21000,649371,1286216
21100,649339,1286122
21200,649306,1286027
21300,649274,1285933
21400,649241,1285838
21500,649208,1285743
21600,649176,1285649
21700,649143,1285554
21800,649111,1285460
21900,649078,1285365
22000,649046,1285271
22100,649029,1285181
22200,649109,1285121
22300,649189,1285061
22400,649270,1285001
22500,649350,1284941
22600,649430,1284881
22700,649510,1284821
22800,649590,1284761
22900,649670,1284701
23000,649750,1284642
23100,649830,1284582
23200,649910,1284522
23300,649990,1284462
23400,650070,1284402
23500,650150,1284342
23600,650230,1284282
23700,650310,1284222
23800,650390,1284162
23900,650470,1284102
24000,650550,1284042
24100,650630,1283982
24200,650711,1283922
24300,650791,1283862
24400,650871,1283803
24500,650929,1283727
24600,650957,1283631
24700,650985,1283535
24800,651013,1283439
24900,651041,1283343
25000,651069,1283247
25100,651097,1283151
25200,651125,1283055
25300,651153,1282959
25400,651181,1282863
25500,651209,1282767
25600,651237,1282671
25700,651265,1282575
25800,651293,1282479
25900,651321,1282383
26000,651348,1282287
26100,651376,1282191
26200,651404,1282095
26300,651432,1281999
26400,651460,1281903
26500,651488,1281807
26600,651516,1281711
26700,651576,1281641
26800,651664,1281593
26900,651751,1281545
27000,651839,1281496
27100,651927,1281448
27200,652014,1281400
27300,652102,1281352
27400,652190,1281304
27500,652277,1281255
27600,652365,1281207
27700,652452,1281159
27800,652540,1281111
27900,652628,1281063
28000,652715,1281015
28100,652803,1280966
28200,652891,1280918
28300,652978,1280870
28400,653066,1280822
28500,653154,1280774
28600,653241,1280726
28700,653329,1280677
28800,653401,1280613
28900,653456,1280529
29000,653512,1280446
29100,653567,1280363
29200,653622,1280279
29300,653677,1280196
29400,653733,1280113
29500,653788,1280029
29600,653843,1279946
29700,653899,1279863
29800,653954,1279779
29900,654009,1279696
30000,654064,1279613
30100,654120,1279529
30200,654175,1279446
30300,654230,1279363
30400,654285,1279279
30500,654341,1279196
30600,654396,1279113
30700,654451,1279029
30800,654507,1278946
30900,654562,1278863
31000,654632,1278798
31100,654726,1278764
31200,654820,1278730
31300,654914,1278697
31400,655008,1278663
31500,655102,1278629
31600,655196,1278596
31700,655291,1278562
31800,655385,1278528
31900,655479,1278494
32000,655573,1278461
32100,655667,1278427
32200,655761,1278393
32300,655856,1278360
32400,655950,1278326
