x, y
0,600
0.1,504
37.29961224,505
74.59922449,502
111.8988367,501
149.198449,503
186.4980612,503
223.7976735,503
261.0972857,502
298.3968979,500
335.6965102,500
372.9961224,501
410.2957347,501
447.5953469,501
484.8949592,500
522.1945714,499
559.4941837,500
596.7937959,502
634.0934081,500
671.3930204,499
708.6926326,497
745.9922449,497
783.2918571,496
820.5914694,496
857.8910816,496
895.1906938,495
932.4903061,498
969.7899183,501
1007.089531,499
1044.389143,499
1081.688755,499
1118.988367,495
1156.28798,493
1193.587592,491
1230.887204,490
1268.186816,489
1305.486429,488
1342.786041,489
1380.085653,490
1417.385265,489
1454.684877,492
1491.98449,494
1529.284102,492
1566.583714,489
1603.883326,486
1641.182939,485
1673.081775,482.93911
1693.958605,481.76815
1714.835435,481.76815
1741.061915,480.91637
1771.202885,480.31616
1808.781155,479.94145
1835.921015,478.5363
1860.973225,478.5363
1896.463845,478.16159
1931.606455,478.61228
1965.357365,478.67682
1992.497225,477.45902
2015.461705,476.61592
2065.566125,476.52225
2103.144395,476.14754
2174.125645,475.96019
2251.369835,476.28806
2338.008705,476.81587
2455.962815,477.45902
2583.311435,478.06791
2612.539025,477.59953
2664.731095,477.55269
2727.361575,478.5363
2835.921015,479.23887
2965.357445,479.51991
2988.321925,478.91101
3000.847985,477.46023
3023.812465,473.33724
3094.793715,473.33724
3130.284415,473.75878
3144.898125,473.2904
3169.950255,473.47775
3186.651785,473.00937
3217.735025,473.01477
3280.597505,472.49415
3336.964885,472.0726
3376.630885,471.78983
3435.086065,472.0726
3438.608965,472.8911
3468.488955,480.26932
3491.453435,479.10043
3513.753685,478.30696
3604.188495,477.83372
3662.643365,478.72365
3716.923245,478.25527
3773.290615,477.9274
3796.255245,479.70726
3804.605855,481.72131
3841.860061,485
3879.159673,490
3916.459286,491
3953.758898,491
3991.05851,490
4028.358122,488
4065.657735,485
4102.957347,485
4140.256959,486
4177.556571,487
4214.856184,488
4252.155796,487
4289.455408,488
4326.75502,488
4364.054632,487
4401.354245,487
4438.653857,489
4475.953469,490
4513.253081,492
4550.552694,493
4587.852306,490
4625.151918,489
4662.45153,492
4699.751143,494
4737.050755,495
4774.350367,494
4811.649979,494
4848.949592,495
4886.249204,496
4923.548816,495
4960.848428,494
4998.148041,494
5035.447653,493
5072.747265,494
5110.046877,495
5147.34649,495
5184.646102,494
5221.945714,494
5259.245326,494
5296.544939,496
5333.844551,495
5371.144163,494
5408.443775,494
5445.743388,494
5483.043,494
5520.342612,494
5557.642224,494
5594.941837,494
5632.241449,490
5669.541061,490
5706.840673,490
5744.140286,491
5781.439898,491
5818.73951,491
5856.039122,490
5893.338734,492
5930.638347,493
5967.937959,492
6005.237571,492
6042.537183,492
6079.836796,492
6117.136408,493
6154.43602,494
6191.735632,496
6229.035245,497
6266.334857,496
6303.634469,496
6340.934081,497
6378.233694,499
6415.533306,499
6452.832918,498
6490.13253,499
6527.432143,502
6564.731755,501
6602.031367,501
6639.330979,503
6676.630592,505
6713.930204,504
6751.229816,504
6788.529428,507
6825.829041,509
6863.128653,507
6900.428265,508
6937.727877,508
6975.02749,509
7012.327102,511
7049.626714,510
7086.926326,507
7124.225939,509
7161.525551,509
7198.825163,510
7236.124775,514
7273.424387,513
7310.724,514
7348.023612,515
7385.323224,514
7422.622836,511
7459.922449,512
7497.222061,514
7534.521673,511
7571.821285,510
7609.120898,511
7646.42051,512
7683.720122,513
7721.019734,512
7721.1,600
