x, y
0,482.5
24.89627,482.68519
50.41495,482.61959
54.7718,481.85185
75.62242,481.48474
105.80913,481.38889
134.43987,480.97222
168.04979,480.97222
187.96684,480.23148
221.88798,480.32673
247.45111,480.2771
266.39006,480.23148
308.71373,479.81481
338.58922,479.97932
372.82159,480.26883
372.04358,481.31104
382.15769,481.94444
401.17567,482.51408
415.54132,482.89541
439.7303,482.70065
441.28632,481.77424
441.28632,480.90573
441.90877,478.56481
450.62242,476.94919
474.89628,476.94533
494.81329,476.41265
510.37346,475.83364
527.80084,475.20832
531.53528,474.53667
547.7179,473.93518
576.65977,473.81291
602.59338,473.68746
622.47581,473.31432
646.68051,473.26285
667.21995,473.14815
679.35686,472.56805
713.58923,472.56805
743.15354,472.56805
762.51731,472.95405
786.72201,473.03125
824.06641,472.96296
844.60583,473.65658
856.43153,474.62963
852.69715,476.94444
854.56433,479.30768
876.97097,480.15303
926.14116,480.18518
960.99587,479.9537
996.78425,479.68982
1024.48135,479.44664
1066.805,478.93518
1107.88388,478.33333
1171.36943,478.47222
1216.18259,478.37963
1252.28229,479.25926
1294.60587,479.12037
1315.76766,479.80562
1325.10376,480.44253
1334.43986,481.34259
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
x, y
0,482.26218
35.41667,480.61801
68.74998,479.38515
129.16668,478.03944
168.75005,477.4826
214.58332,477.529
253.72024,478.67135
300.00003,480.08121
337.50002,480.87007
364.58333,480.13051
377.08338,474.88399
391.66665,470.89327
404.1667,468.48028
437.5,469.9652
485.41665,470.89327
518.22917,472.09267
545.83343,472.70302
573.56771,473.07927
606.24997,473.63109
641.92708,474.09488
672.91673,474.18794
683.03571,475.83593
687.5,477.46091
702.08343,481.10209
758.33337,479.33875
862.35119,477.6433
943.75006,476.36891
1074.99997,475.62645
1164.58337,475.48724
1251.42045,475.67765
1383.33337,475.44084
1507.8125,475.47321
1575.52083,475.69084
1674.47917,475.952
1752.0833,476.09049
1831.01852,476.11965
1862.63021,477.56247
1896.48438,479.12941
1922.61905,480.72744
1950.00013,481.75174
