x, y
0,484
32.92170589,486
65.84341179,489
98.76511768,489
131.6868236,487
164.6085295,486
197.5302354,486
230.4519413,486
263.3736472,486
296.295353,486
329.2170589,486
362.1387648,485
395.0604707,483
427.9821766,483
453.8991019,482.8199
653.8445961,478.74407
910.4333002,478.06343
1129.259854,477.03791
1241.093358,474.2891
1422.157772,473.43602
1559.166187,473.05687
1645.824771,474.38389
1719.896125,476.46919
1768.792789,475.99526
1792.514543,478.27014
1910.641417,478.93365
1946.950861,477.60663
2058.784125,478.17535
2131.402544,479.40758
2151.736549,476.56398
2230.648578,475.14218
2285.838862,478.45971
2372.497196,472.96208
2597.61785,471.54028
2740.919644,471.82464
2777.228608,474.85782
2807.243972,472.48815
2812.084886,473.90995
2816.92533,472.01422
2851.781129,476.84834
2856.621563,478.74407
2872.115615,472.77251
2897.771451,474.9526
2911.811847,473.72038
2927.786815,473.43602
3071.088609,474.09953
3226.978103,474.2891
3280.715212,474.47867
3288.461997,472.96208
3373.667636,472.01422
3397.870306,464.62085
3405.617092,468.69668
3407.070258,466.99052
3409.97661,468.50711
3413.845274,461.49289
3421.59206,466.99052
3427.404744,469.45498
3443.860628,464.24171
3448.701073,467.08531
3472.422817,469.45498
3494.690915,474.85782
3508.731791,471.54028
3537.293979,473.81516
3623.952793,473.90995
3628.793237,476.94313
3652.514981,473.24644
3751.761015,473.62559
3819.53852,476.75355
3855.847494,478.93365
3934.759532,481.49289
3948.799918,479.12322
4071.767706,481.49289
4177.30736,481.58768
4226.204024,479.78673
4394.680738,479.78673
4506.514482,481.68246
4510.273708,481
4543.195413,481
4576.117119,481
4609.038825,481
4641.960531,481
4674.882237,481
4707.803943,481
4740.725649,481
4773.647355,481
4806.569061,481
4839.490766,481
4872.412472,481
4905.334178,481
4938.255884,481
4971.17759,481
5004.099296,481
5037.021002,481
5069.942708,481
5102.864414,481
5135.78612,481
5168.707825,481
5201.629531,481
5234.551237,481
5267.472943,481
5300.394649,481
5333.316355,481
5366.238061,481
5399.159767,481
5432.081473,481
5465.003178,481
5497.924884,481
5530.84659,481
5563.768296,481
5596.690002,481
5629.611708,481
5662.533414,481
5695.45512,481
5728.376826,481
5761.298531,485
5794.220237,483
5827.141943,483
5860.063649,482
5892.985355,481
5925.907061,481
5958.828767,481
5991.750473,481
6024.672179,481
6057.593885,481
6090.51559,481
6123.437296,486
6156.359002,485
6189.280708,484
6222.202414,484
6255.12412,481
6288.045826,481
6320.967532,481
6353.889238,481
6386.810943,481
6419.732649,481
6452.654355,483
6485.576061,485
6518.497767,484
6551.419473,484
6584.341179,485
6617.262885,487
6650.184591,488
6683.106297,489
6716.028002,487
6748.949708,486
6781.871414,485
6814.79312,486
6847.714826,486
6880.636532,486
6913.558238,487
6946.479944,487
6979.40165,488
7012.323355,489
7045.245061,489
7078.166767,489
7111.088473,488
7144.010179,488
7176.931885,488
7209.853591,487
7242.775297,488
7275.697003,488
7308.618709,488
7341.540414,489
7374.46212,489
7407.383826,488
7440.305532,488
7473.227238,488
7506.148944,488
7539.07065,489
7571.992356,491
7604.914062,491
7637.835767,491
7670.757473,491
7703.679179,490
7736.600885,490
7769.522591,490
7802.444297,490
7835.366003,490
7868.287709,490
7901.209415,491
7934.131121,490
7967.052826,487
7999.974532,490
8032.896238,491
8065.817944,490
8098.73965,490
8131.661356,490
8164.583062,492
8197.504768,492
8230.426474,492
8263.348179,492
8296.269885,493
8329.191591,491
8362.113297,489
8395.035003,490
8427.956709,491
8460.878415,491
8493.800121,492
8526.721827,493
8559.643533,493
8592.565238,489
8625.486944,490
8658.40865,492
8691.330356,492
8724.252062,493
8757.173768,494
8790.095474,491
8823.01718,491
8855.938886,494
8888.860591,494
8921.782297,493
8954.704003,492
8987.625709,492
9020.547415,493
9053.469121,493
9086.390827,492
9119.312533,492
9152.234239,492
9185.155944,491
9218.07765,490
9250.999356,490
9283.921062,491
9316.842768,491
9349.764474,492
9382.68618,493
9415.607886,490
9448.529592,489
9481.451298,489
9514.373003,489
9547.294709,489
9580.216415,489
9613.138121,490
9646.059827,490
9678.981533,491
9711.903239,491
9744.824945,491
9777.746651,491
9810.668356,490
9843.590062,489
9876.511768,490
9909.433474,491
9942.35518,491
9975.276886,490
10008.19859,490
10041.1203,491
10074.042,491
10106.96371,491
10139.88542,490
10172.80712,490
10205.72883,491
10238.65053,490
10271.57224,488
10304.49394,490
10337.41565,490
10370.33736,489
10403.25906,488
10436.18077,485
10469.10247,486
10502.02418,488
10534.94589,487
10567.86759,490
10600.7893,490
10633.711,490
10666.63271,491
10699.55442,489
10732.47612,489
10765.39783,490
10798.31953,492
10831.24124,494
10864.16295,493
10897.08465,491
10930.00636,490
10962.92806,490
10995.84977,490
11028.77147,490
11061.69318,491
11094.61489,493
11127.53659,490
11160.4583,488
11193.38,488
11226.30171,489
11259.22342,488
11292.14512,486
11325.06683,487
11357.98853,486
11390.91024,485
11423.83195,487
11456.75365,488
11489.67536,488
11522.59706,489
11555.51877,490
11588.44047,490
11621.36218,489
11654.28389,490
11687.20559,490
11720.1273,490
11753.049,489
11785.97071,488
11818.89242,489
11851.81412,488
11884.73583,488
11917.65753,489
11950.57924,488
11983.50095,489
12016.42265,489
12049.34436,488
12082.26606,488
12115.18777,488
12148.10947,487
12181.03118,489
12213.95289,489
12246.87459,488
12279.7963,489
12312.718,489
12345.63971,489
12378.56142,488
12411.48312,486
12444.40483,488
12477.32653,491
12510.24824,487
12543.16995,487
12576.09165,491
12609.01336,490
12641.93506,489
12674.85677,489
12707.77848,488
12740.70018,488
12773.62189,487
12806.54359,482
12839.4653,481
12872.387,481
12905.30871,483
12938.23042,481
12971.15212,487
13004.07383,485
13036.99553,484
13069.91724,483
13102.83895,482
13135.76065,483
13168.68236,483
13201.60406,484
13234.52577,484
13267.44748,484
13300.36918,483
13333.29089,482.51196
13342.66589,482.30056
13353.74543,481.88995
13362.6943,481.67822
13369.08635,481.45933
13375.90453,480.98086
13385.17299,480.82251
13393.69572,480.73275
13402.21845,480.64299
13410.74117,480.61307
13419.2639,480.61307
13427.78663,480.61307
13436.30936,480.61307
13444.83208,480.61307
13453.99402,480.58914
13461.87754,480.49339
13470.40027,480.55323
13478.50869,480.50669
13487.44572,480.49339
13495.96845,480.38867
13504.49118,480.26899
13513.39438,480.15145
13521.2703,479.93988
13530.23692,479.60244
13537.95257,479.16604
13545.03332,478.73809
13553.43767,478.36575
13561.09952,477.9366
13570.00964,477.4843
13577.34866,476.98279
13586.34487,476.42428
13592.50018,476.01205
13601.8515,475.7594
13609.60482,475.24743
13614.22129,474.56925
13619.31971,473.79133
13623.17016,472.98948
13628.24828,472.31528
13636.32712,471.96621
13645.49666,472.30388
13649.80368,473.03735
13656.30226,473.89952
13662.69431,474.86845
13668.78197,475.68911
13673.58446,476.43758
13678.27492,477.11244
13685.21866,478.04851
13695.93296,478.97129
13709.56931,479.48808
13723.20566,480.26316
13732.58071,480.93301
13739.28048,481.69019
13745.3648,482.99043
13761.27306,481
13794.19477,481
13827.11648,481
13860.03818,481
13892.95989,481
13925.88159,481
13958.8033,481
13991.72501,481
14024.64671,481
14057.56842,481
14090.49012,481
14123.41183,481
14156.33353,481
14189.25524,481
14222.17695,485
14255.09865,486
14288.02036,486
14320.94206,485
14353.86377,484
14386.78548,484
14419.70718,484
14452.62889,485
14485.55059,484
14518.4723,484
14551.39401,483
14584.31571,485
14617.23742,486
14650.15912,486
14683.08083,486
14716.00253,486
14748.92424,486
14781.84595,485
14814.76765,485
14847.68936,485
14880.61106,484
14913.53277,484
14946.45448,482
14979.37618,481
15012.29789,481
15045.21959,482
15078.1413,482
15111.06301,484
15143.98471,484
15176.90642,483
15209.82812,485
15242.74983,486
15275.67153,489
15308.59324,487
15341.51495,486
15374.43665,487
15407.35836,487
15440.28006,485
15473.20177,485
15506.12348,484
15539.04518,484
15571.96689,486
15604.88859,487
15637.8103,486
15670.73201,486
15703.65371,486
15736.57542,485
15769.49712,485
15802.41883,487
15835.34054,488
15868.26224,487
15901.18395,486
15934.10565,486
15967.02736,487
15999.94906,489
16032.87077,490
16065.79248,489
16098.71418,492
16131.63589,493
16164.55759,489
16197.4793,490
16230.40101,488
16263.32271,486
16296.24442,487
16329.16612,488
16362.08783,488
16395.00954,489
16427.93124,487
16460.85295,487
16493.77465,488
16526.69636,489
16559.61806,489
16592.53977,489
16625.46148,489
16658.38318,488
16691.30489,490
16724.22659,491
16757.1483,488
16790.07001,488
16822.99171,490
16855.91342,488
16888.83512,493
16921.75683,493
16954.67854,491
16987.60024,492
17020.52195,492
17053.44365,493
17086.36536,491
17119.28707,491
17152.20877,490
17185.13048,491
17218.05218,493
17250.97389,491
17283.89559,490
17316.8173,490
17349.73901,491
17382.66071,492
17415.58242,494
17448.50412,494
17481.42583,491
17514.34754,490
17547.26924,491
17580.19095,494
17613.11265,493
17646.03436,491
17678.95607,489
17711.87777,489
17744.79948,491
17777.72118,492
17810.64289,491
17843.56459,489
17876.4863,490
17909.40801,491
17942.32971,492
17975.25142,493
18008.17312,491
18041.09483,490
18074.01654,490
18106.93824,490
18139.85995,492
18172.78165,492
18205.70336,493
18238.62507,491
18271.54677,492
18304.46848,495
18337.39018,492
18370.31189,490
18403.23359,491
18436.1553,492
18469.07701,493
18501.99871,493
18534.92042,495
18567.84212,493
18600.76383,492
18633.68554,494
18666.60724,494
18699.52895,491
18732.45065,492
18765.37236,494
18798.29407,494
18831.21577,495
18864.13748,495
18897.05918,494
18929.98089,491
18962.9026,491
18995.8243,493
19028.74601,492
19061.66771,493
19094.58942,495
19127.51112,496
19160.43283,495
19193.35454,494
19226.27624,493
19259.19795,495
19292.11965,494
19325.04136,495
19357.96307,495
19390.88477,495
19423.80648,496
19456.72818,496
19489.64989,495
19522.5716,495
19555.4933,497
19588.41501,497
19621.33671,496
19654.25842,496
19687.18012,496
19720.10183,497
19753.02354,496
19785.94524,497
19818.86695,497
19851.78865,497
19884.71036,500
19917.63207,498
19950.55377,495
19983.47548,493
20016.39718,494
20049.31889,492
20082.2406,492
20115.1623,494
20148.08401,495
20181.00571,495
20213.92742,495
20246.84912,498
20279.77083,501
20312.69254,500
20345.61424,498
20378.53595,496
20411.45765,496
20444.37936,496
20477.30107,495
20510.22277,494
20543.14448,493
20576.06618,492
20608.98789,493
20641.9096,493
20674.8313,492
20707.75301,493
20740.67471,496
20773.59642,500
20806.51813,498
20839.43983,496
20872.36154,495
20905.28324,496
20938.20495,499
20971.12665,498
21004.04836,500
21036.97007,499
21069.89177,497
21102.81348,497
21135.73518,495
21168.65689,494
21201.5786,495
21234.5003,496
21267.42201,495
21300.34371,496
21333.26542,496
21366.18713,496
21399.10883,495
21432.03054,496
21464.95224,494
21497.87395,490
21530.79565,491
21563.71736,492
21596.63907,491
21629.56077,490
21662.48248,492
21695.40418,494
21728.32589,495
21761.2476,494
21794.1693,494
21827.09101,495
21860.01271,496
21892.93442,495
21925.85613,496
21958.77783,496
21991.69954,494
22024.62124,490
22057.54295,490
22090.46466,493
22123.38636,495
22156.30807,494
22189.22977,494
22222.15148,495
22255.07318,496
22287.99489,495
22320.9166,495
22353.8383,495
22386.76001,495
22419.68171,495
22452.60342,494
22485.52513,493
22518.44683,495
22551.36854,495
22584.29024,493
22617.21195,492
22650.13366,492
22683.05536,491
22715.97707,488
22748.89877,489
22781.82048,492
22814.74218,494
22847.66389,493
22880.5856,493
22913.5073,494
22946.42901,495
22979.35071,495
23012.27242,494
23045.19413,496
23078.11583,498
23111.03754,494
23143.95924,492
23176.88095,492
23209.80266,492
23242.72436,495
23275.64607,495
23308.56777,496
23341.48948,495
23374.41118,493
23407.33289,493
23440.2546,492
23473.1763,492
23506.09801,496
23539.01971,494
23571.94142,494
23604.86313,495
23637.78483,497
23670.70654,496
23703.62824,495
23736.54995,495
23769.47166,495
23802.39336,496
23835.31507,493
23868.23677,493
23901.15848,493
23934.08019,493
23967.00189,495
23999.9236,496
24032.8453,494
24065.76701,493
24098.68871,492
24131.61042,492
24164.53213,492
24197.45383,494
24230.37554,493
24263.29724,493
24296.21895,496
24329.14066,496
24362.06236,494
24394.98407,493
24427.90577,493
24460.82748,494
24493.74919,496
24526.67089,496
24559.5926,495
24592.5143,496
24625.43601,496
24658.35771,494
24691.27942,495
24724.20113,495
24757.12283,498
24790.04454,498
24822.96624,495
24855.88795,495
24888.80966,494
24921.73136,494
