x, y
0,600
0.1,485
30.54369578,482
61.08739155,482
91.63108733,483
122.1747831,483
152.7184789,483
183.2621747,483
213.8058704,484
244.3495662,484
274.893262,483
305.4369578,482
335.9806535,483
366.5243493,483
397.0680451,483
427.6117409,484
458.1554366,483
488.6991324,483
519.2428282,484
549.786524,484
580.3302197,484
610.8739155,485
641.4176113,484
671.9613071,484
702.5050028,484
733.0486986,484
763.5923944,483
794.1360902,483
824.6797859,484
855.2234817,483
885.7671775,484
916.3108733,484
946.854569,483
951.7919496,481.47553
954.6279538,482.03497
958.9698353,482.42657
966.9759122,481.86713
967.477828,481.1958
983.1638365,481.30769
1006.353736,472.58042
1013.531622,475.32168
1015.037509,478.00699
1017.873513,477.83916
1019.20362,472.07692
1024.875609,473.02797
1027.385468,474.7063
1035.567325,479.68531
1037.725493,471.68532
1045.405424,472.18881
1049.421171,481.36364
1171.743707,472.08485
1337.138761,472.58042
1343.312936,472.18881
1412.90832,473.02797
1589.318614,473.36364
1675.603848,472.97203
1898.745773,473.30769
2121.887697,474.14685
2224.862771,474.03497
2257.740545,473.19581
2260.576539,469.89511
2324.608644,469.31044
2393.091468,468.72028
2442.659092,469
2445.495086,468.44056
2451.669001,469.16783
2564.657835,468.44056
2655.611226,474.2028
2662.789232,473.08392
2667.632919,467.43357
2670.468913,469.05594
2676.643087,469.83916
2735.22062,473.81119
2854.885284,472.46853
2984.564219,472.02098
3265.727395,478.63932
3265.78175,481.86713
3277.803443,472.18881
3279.581251,476.29544
3282.308527,474.02152
3298.719144,481
3329.26284,481
3359.806535,481
3390.350231,481
3420.893927,481
3451.437623,481
3481.981318,481
3512.525014,481
3543.06871,481
3573.612406,481
3604.156101,481
3634.699797,481
3665.243493,481
3695.787189,481
3726.330885,481
3756.87458,481
3787.418276,481
3817.961972,481
3848.505668,481
3879.049363,481
3909.593059,481
3940.136755,481
3970.680451,481
4001.224147,481
4031.767842,481
4062.311538,481
4092.855234,481
4123.39893,481
4153.942625,481
4184.486321,481
4215.030017,481
4245.573713,481
4276.117409,481
4306.661104,481
4337.2048,481
4367.748496,481
4398.292192,481
4428.835887,481
4459.379583,481
4489.923279,481
4520.466975,481
4551.010671,481
4581.554366,481
4612.098062,481
4642.641758,481
4673.185454,481
4703.729149,481
4734.272845,481
4764.816541,481
4795.360237,481
4825.903932,481
4856.447628,481
4886.991324,481
4917.53502,481
4948.078716,481
4978.622411,481
5009.166107,481
5039.709803,481
5070.253499,481
5100.797194,481
5131.34089,481
5161.884586,481
5192.428282,481
5222.971978,481
5253.515673,481
5284.059369,481
5314.603065,481
5345.146761,481
5375.690456,481
5406.234152,481
5436.777848,481
5467.321544,481
5497.86524,481
5528.408935,481
5558.952631,481
5589.496327,481
5620.040023,481
5650.583718,481
5681.127414,481
5711.67111,481
5742.214806,481
5772.758502,481
5803.302197,481
5833.845893,481
5864.389589,481
5894.933285,481
5925.47698,481
5956.020676,481
5986.564372,481
6017.108068,481
6047.651763,481
6078.195459,481
6108.739155,481
6139.282851,481
6169.826547,481
6200.370242,481
6230.913938,481
6261.457634,481
6292.00133,481
6322.545025,481
6353.088721,481
6383.632417,481
6414.176113,481
6444.719809,481
6475.263504,481
6505.8072,481
6536.350896,481
6566.894592,481
6597.438287,481
6627.981983,481
6658.525679,481
6689.069375,481
6719.613071,481
6750.156766,481
6780.700462,481
6811.244158,481
6841.787854,482
6872.331549,484
6902.875245,485
6933.418941,487
6963.962637,488
6994.506333,488
7025.050028,487
7055.593724,488
7086.13742,487
7116.681116,486
7147.224811,487
7177.768507,488
7208.312203,488
7238.855899,488
7269.399595,486
7299.94329,486
7330.486986,485
7361.030682,486
7391.574378,487
7422.118073,488
7452.661769,489
7483.205465,487
7513.749161,485
7544.292856,484
7574.836552,484
7605.380248,484
7635.923944,484
7666.46764,485
7697.011335,486
7727.555031,486
7758.098727,488
7788.642423,488
7819.186118,488
7849.729814,489
7880.27351,488
7910.817206,488
7941.360902,487
7971.904597,487
8002.448293,487
8032.991989,487
8063.535685,488
8094.07938,488
8124.623076,486
8155.166772,485
8185.710468,486
8216.254164,485
8246.797859,484
8277.341555,484
8307.885251,486
8338.428947,487
8368.972642,486
8399.516338,485
8430.060034,484
8460.60373,482
8491.147426,481
8521.691121,482
8552.234817,482
8582.778513,481
8613.322209,483
8643.865904,484
8674.4096,484
8704.953296,484
8735.496992,484
8766.040687,484
8796.584383,483
8827.128079,483
8857.671775,483
8888.215471,483
8918.759166,483
8949.302862,483.06763
8964.238862,482.14976
9002.645672,479.44445
9038.918802,476.98068
9079.459292,474.85507
9130.668432,473.50242
9273.627192,473.50242
9376.045372,473.55073
9452.858992,473.79227
9521.137892,472.82609
9565.945822,473.50242
9600.085192,473.55073
9685.433702,472.43962
9755.846282,473.11594
9813.456452,473.06763
9847.595822,473.4058
9892.403752,473.11594
9935.078002,473.4058
9996.955702,472.8744
10033.22891,469.2029
10054.56604,470.60387
10103.64133,470.7971
10148.44926,469.49275
10163.38534,472.343
10193.25735,472.72947
10285.00689,471.90821
10353.28579,472.19807
10378.89028,468.81643
10395.96005,469.68599
10432.23309,473.16425
10477.04103,472.14976
