x, y
0,600
0.1,487
35.37033635,483
70.7406727,483
106.1110091,481
141.4813454,482
176.8516818,481
212.2220181,480
247.5923545,479
282.9626908,482
318.3330272,482
353.7033635,481
389.0736999,482
424.4440362,484
459.8143726,482
495.1847089,481
530.5550453,483
565.9253816,483
601.295718,481
636.6660543,482
672.0363907,481
707.406727,483
742.7770634,483
778.1473997,482
813.5177361,482
848.8880724,483
884.2584088,485
919.6287451,485
954.9990815,483
990.3694178,482
1025.739754,481
1061.110091,481
1096.480427,478
1131.850763,478
1167.2211,483
1202.591436,485
1237.961772,482
1273.332109,482
1308.702445,483
1344.072781,483
1379.443118,484
1414.813454,484
1450.18379,485
1485.554127,485
1520.924463,484
1556.294799,484
1591.665136,484
1627.035472,484
1662.405808,486
1697.776145,485
1733.146481,484
1768.516818,483
1803.887154,483
1839.25749,483
1874.627827,483
1909.998163,483
1945.368499,483
1980.738836,484
2016.109172,486
2051.479508,487
2086.849845,485
2122.220181,483
2157.590517,483
2192.960854,485
2228.33119,485
2263.701526,485
2299.071863,484
2334.442199,485
2369.812536,485
2405.182872,484
2409.060841,482.85915
2459.480961,481.73239
2503.598651,482.40845
2610.741561,480.04225
2680.069191,479.02817
2743.094401,477.11268
2799.817181,478.23944
2837.632211,479.47887
2919.564931,476.26761
2969.985051,476.5493
3045.615351,474.35211
3171.665771,477.78873
3278.808671,475.25352
3316.623701,476.38028
3360.741401,475.42254
3430.069271,472.43662
3543.514601,471.42253
3593.934721,473.11268
3644.354841,475.64789
3713.682711,473.11268
3789.312771,475.76056
3833.430461,472.94366
3890.153251,475.19718
3940.573361,478.91549
4009.901001,475.92958
4072.926451,471.87324
4123.346331,472.32394
4129.649231,470.91549
4299.817101,469.61972
4299.817101,470.46479
4457.380121,470.07042
4501.497581,475.08451
4539.313091,475.64789
4551.917941,474.29578
4583.430541,475.14085
4633.850901,473.4507
4640.153331,475.59155
4671.665931,474.23944
4684.270781,475.8169
4734.691141,473.95775
4785.111021,475.53521
4822.926531,472.32394
4854.439131,475.3662
4885.951741,472.60563
4948.976941,477.11268
4986.791971,475.64789
5005.699251,472.88732
5043.514761,470.97183
5100.237061,471.08451
5125.447241,474.01409
5169.565181,473.22535
5201.077781,477.78873
5232.590381,478.6338
5283.010261,476.49296
5346.035471,478.91549
5415.363101,472.83099
5484.691221,472.60563
5604.438731,473.16901
5862.842471,472.60563
5906.959921,471.53521
6026.707921,472.32394
6177.968511,472.60563
6184.270941,469.39437
6222.085971,468.71831
6285.111181,468.94366
6304.018931,466.69014
6348.136391,467.42254
6417.464021,466.07042
6493.094561,465.28169
6694.775031,465.11268
6783.010421,472.26761
6978.388471,472.71831
7072.926291,473
7198.976701,473
7306.119371,475.8169
7539.312931,475.76056
7898.556421,475.59155
7974.186961,474.52113
8112.842711,474.69014
8226.287321,476.38028
8364.943551,479.25352
8610.741481,483.02817
8630.36207,481
8665.732406,481
8701.102742,481
8736.473079,481
8771.843415,481
8807.213751,488
8842.584088,487
8877.954424,484
8913.32476,484
8948.695097,484
8984.065433,484
9019.43577,484
9054.806106,484
9090.176442,483
9125.546779,483
9160.917115,483
9196.287451,483
9231.657788,484
9267.028124,484
9302.39846,484
9337.768797,484
9373.139133,483
9408.509469,483
9443.879806,483
9479.250142,483
9514.620478,484
9549.990815,484
9585.361151,484
9620.731487,483
9656.101824,484
9691.47216,483
9726.842497,483
9762.212833,484
9797.583169,483
9832.953506,484
9868.323842,482
9903.694178,482
9939.064515,483
9974.434851,482
10009.80519,482
10045.17552,482
10080.54586,482
10115.9162,482
10151.28653,483
10186.65687,484
10222.02721,486
10257.39754,485
10292.76788,485
10328.13821,486
10363.50855,486
10398.87889,484
10434.24922,485
10469.61956,485
10504.9899,486
10540.36023,487
10575.73057,486
10611.10091,487
10646.47124,486
10681.84158,485
10717.21191,486
10752.58225,484
10787.95259,487
10823.32292,487
10858.69326,487
10894.0636,487
10929.43393,486
10964.80427,486
11000.17461,487
11035.54494,488
11070.91528,489
11106.28561,488
11141.65595,488
11177.02629,488
11212.39662,488
11247.76696,487
11283.1373,487
11318.50763,487
11353.87797,489
11389.24831,489
11424.61864,488
11459.98898,487
11495.35931,487
11530.72965,487
11566.09999,486
11601.47032,490
11636.84066,494
11672.211,492
11707.58133,492
11742.95167,490
11778.322,490
11813.69234,491
11849.06268,490
11884.43301,489
11919.80335,490
11955.17369,489
11990.54402,490
12025.91436,490
12061.2847,490
12096.65503,489
12132.02537,489
12167.3957,490
12202.76604,489
12238.13638,491
12273.50671,492
12308.87705,492
12344.24739,491
12379.61772,492
12414.98806,491
12450.3584,490
12485.72873,489
12521.09907,489
12556.4694,489
12591.83974,488
12627.21008,489
12662.58041,490
12697.95075,489
12733.32109,489
12768.69142,490
12804.06176,489
12839.4321,491
12874.80243,490
12910.17277,490
12945.5431,492
12980.91344,490
13016.28378,489
13051.65411,490
13087.02445,490
13122.39479,490
13157.76512,488
13193.13546,490
13228.5058,490
13263.87613,489
13299.24647,488
13334.6168,489
13369.98714,490
13405.35748,490
13440.72781,489
13476.09815,489
13511.46849,487
13546.83882,488
13582.20916,489
13617.5795,489
13652.94983,489
13688.32017,489
13723.6905,490
13759.06084,490
13759.1,600
