Input Parameter,Sensitivity of attenuation,Sensitivity of us_peak_amp,Sensitivity of ds_peak_amp
rep_length_fraction,0.01579009988750614,-2.0359326565649207e-06,-0.0012693597058809096
wet_n,-0.4541280168281832,-0.13751916681387355,0.060404594206466544
dry_n,0.6685376028606933,0.5855250056394797,-0.08059802678552669
n_steepness,-0.05163861887885416,3.955921651685679e-06,0.005575678483850332
Cc,0.00016524854617738758,-2.3167410255883588e-08,-1.2799960701174741e-05
K_q,0.00014023780807375006,-1.9669739015570798e-08,-1.087033070631402e-05
